Event,Favorite,Underdog,Winner,odds_delta,delta_height,delta_reach,delta_SLPM,delta_Str Acc,delta_SApm,delta_Str. Def,delta_TD Avg,delta_TD Acc,delta_TD Def,delta_Sub Avg,delta_age
UFC Fight Night 77: Belfort vs. Henderson 3,Gasan Umalatov,Viscardi Andrade,Underdog,-0.32,0,-4,-1.03,-0.03,1.32,-0.05,-1.18,-0.33,0.24,-0.3,1
UFC Fight Night 77: Belfort vs. Henderson 3,Pedro Munhoz,Jimmie Rivera,Underdog,-0.94,2,-3,1.29,0.02,2.33,-0.04,-0.37,-0.1,-0.11,0.4,3
UFC Fight Night 77: Belfort vs. Henderson 3,Matheus Nicolau,Bruno Korea,Favorite,-1.16,0,1,1.5,0.18,-0.77,0.24,1.38,0.45,0.68,0.8,-1
UFC 193 - Rousey vs. Holm,Ronda Rousey,Holly Holm,Underdog,-11.92,-1,-3,1.04,0.12,1.21,-0.12,5.39,0.38,-0.26,4.7,-5
UFC 193 - Rousey vs. Holm,Joanna Jedrzejczyk,Valerie Letourneau,Favorite,-11.76,-1,-3,1.77,0.1,-2.16,0.04,-0.5,0.17,0.14,-0.2,-5
UFC 193 - Rousey vs. Holm,Mark Hunt,Antonio Silva,Favorite,-1.94,-6,-10,-0.09,-0.03,-0.19,0.01,-0.31,0.26,-0.03,-0.61,6
UFC 193 - Rousey vs. Holm,Urijah Hall,Robert Whittaker,Underdog,-0.59,0,6,-1.35,0.06,0.39,-0.05,-0.27,0,-0.18,0.1,6
UFC 193 - Rousey vs. Holm,Stefan Struve,Jared Rosholt,Underdog,-0.33,9,9,1.04,0,2.52,-0.13,-1.27,0.05,-0.11,1.6,-1
UFC 193 - Rousey vs. Holm,Jake Matthews,Akbarh Arreola,Favorite,-7.36,1,2,0.98,0,-1.45,0.03,0.52,-0.6,0.28,0.19,-12
UFC 193 - Rousey vs. Holm,Peter Sobotta,Kyle Noke,Underdog,-0.97,-1,-1,-1.09,-0.1,0.81,-0.07,0,-0.23,0.1,-0.31,-7
UFC 193 - Rousey vs. Holm,Gian Villante,Anthony Perosh,Favorite,-3.4,0,1,2.11,0.01,1.69,0.02,-1.58,0.01,0.49,-1.11,-13
UFC 193 - Rousey vs. Holm,Danny Martinez,Richie Vaculik,Favorite,-0.09,0,-2,-0.96,-0.18,-0.32,0.06,0,0,0.04,-1,-2
UFC 193 - Rousey vs. Holm,Steve Montgomery,Daniel Kelly,Underdog,-2.01,4,6,1.22,0.01,-0.52,-0.15,-1.86,-0.34,-0.15,-0.3,-13
UFC 193 - Rousey vs. Holm,Richard Walsh,Steven Kennedy,Favorite,-2.59,1,2,1.56,0.11,-2.8,0.12,-0.96,0.07,0.66,0.2,-6
UFC 193 - Rousey vs. Holm,James Moontasri,Anton Zafir,Favorite,-2.59,-1,-1,-0.61,-0.17,1.54,-0.12,-6.11,-0.6,0.79,0.2,-1
UFC 193 - Rousey vs. Holm,Ben Nguyen,Ryan Benoit,Favorite,-0.4,0,-3,0.62,0.01,-0.65,0.01,-0.04,0.11,-0.09,0.6,1
UFC Fight Night 78 - Magny vs. Gastelum,Kelvin Gastelum,Neil Magny,Underdog,-2.46,-6,-9,0.07,-0.06,0.81,0.05,-1.21,-0.11,0.04,-0.2,-4
UFC Fight Night 78 - Magny vs. Gastelum,Ricardo Lamas,Diego Sanchez,Favorite,-4.21,-2,-1,0.43,0.09,-0.15,0,0.33,0.09,0,0.09,0
UFC Fight Night 78 - Magny vs. Gastelum,Henry Cejudo,Jussier Formiga,Favorite,-4.29,-1,-3,2.35,0.07,0.95,-0.05,0.16,-0.03,-0.12,-0.4,-2
UFC Fight Night 78 - Magny vs. Gastelum,Enrique Marin,Erick Montano,Underdog,-1.16,-2,2,-1.36,-0.11,0.94,-0.15,0.2,0.02,-0.07,1,-1
UFC Fight Night 78 - Magny vs. Gastelum,Horacio Gutierrez,Enrique Barzola,Underdog,-1.1,3,-1,-3.05,-0.15,-0.07,-0.23,-4.2,-0.45,-0.17,-0.3,-2
UFC Fight Night 78 - Magny vs. Gastelum,Leandro Silva,Efrain Escudero,Favorite,-0.69,0,1,-0.53,0.03,-0.22,0,0.44,-0.04,-0.02,-0.4,0
UFC Fight Night 78 - Magny vs. Gastelum,Erik Perez,Taylor Lapilus,Favorite,-0.27,2,-5,-0.75,-0.06,-0.29,0.05,2.79,0.15,-0.09,-0.2,2
UFC Fight Night 78 - Magny vs. Gastelum,Bartosz Fabinski,Hector Urbina,Favorite,-1.17,1,2,1.26,0.3,-0.98,0.12,7.1,0.7,0.42,-3.8,2
UFC Fight Night 78 - Magny vs. Gastelum,Scott Jorgensen,Alejandro Perez,Underdog,-0.37,-1,-1,-0.09,0.05,0.23,0.04,2.06,0.23,-0.11,0.4,7
UFC Fight Night 78 - Magny vs. Gastelum,Andre Fili,Gabriel Benitez,Favorite,-1.41,3,3,-1.41,-0.04,-0.38,-0.12,1.94,-0.04,0.13,-0.61,-2
UFC Fight Night 78 - Magny vs. Gastelum,Vernon Ramos,Alvaro Herrera,Underdog,-0.87,-6,-7,2.11,-0.13,4.59,0,0,0,-0.33,-1.11,-3
UFC Fight Night 78 - Magny vs. Gastelum,Cesar Arzamendia,Marco Polo Reyes,Underdog,-1.13,0,0,-0.63,0.08,-0.32,-0.03,7.32,0.75,-0.46,2.4,-6
UFC Fight Night 78 - Magny vs. Gastelum,Michel Prazeres,Valmir Lazaro,Favorite,-0.39,-6,-6,-2.5,0.09,-1.58,-0.05,2.61,-0.05,-0.49,0.6,4
UFC Fight Night 79 - Henderson vs. Masvidal,Benson Henderson,Jorge Masvidal,Favorite,-1.58,-2,-4,-1.12,-0.02,-1.26,-0.02,1.02,-0.14,-0.09,0.5,1
UFC Fight Night 79 - Henderson vs. Masvidal,Dong Hyun Kim,Dominic Waters,Favorite,-5.85,1,-3,1.64,0.26,-0.64,0.18,-1.15,-0.1,0.42,0.6,7
UFC Fight Night 79 - Henderson vs. Masvidal,Yoshihiro Akiyama,Alberto Mina,Underdog,-0.71,-2,-2,-0.13,0.02,-0.09,0.09,0.43,0.47,0.42,1,6
UFC Fight Night 79 - Henderson vs. Masvidal,Doo Ho Choi,Sam Sicilia,Favorite,-1.92,2,3,2.28,0.2,1.36,-0.05,-1.16,-0.23,-0.2,-0.9,-5
UFC Fight Night 79 - Henderson vs. Masvidal,Jake Collier,Dongi Yang,Underdog,-0.19,5,5,2.25,-0.08,1.87,-0.13,-0.99,-0.08,0.06,0.09,-4
UFC Fight Night 79 - Henderson vs. Masvidal,Yui Chul Nam,Mike de la Torre,Underdog,-0.18,-2,-1,0.31,0.12,-2.75,-0.04,0.97,0,-0.26,0.3,5
UFC Fight Night 79 - Henderson vs. Masvidal,Leo Kuntz,Tae Hyun Bang,Underdog,-0.85,1,3,-1.05,-0.06,1.73,-0.22,1.5,-0.09,-0.24,0.19,-1
UFC Fight Night 79 - Henderson vs. Masvidal,Cortney Casey,Seo Hee Ham,Underdog,-0.55,5,5,0.08,0,-1.16,-0.06,0.39,0.31,-0.27,0.3,0
UFC Fight Night 79 - Henderson vs. Masvidal,Freddy Serrano,Zhuikui Yao,Favorite,-0.89,-2,1,0.14,0.05,-0.93,0.13,2.17,0.09,0.26,0,11
UFC Fight Night 79 - Henderson vs. Masvidal,Ning Guangyou,Marco Beltran,Underdog,-0.85,-4,-5,0.59,0.03,-0.03,-0.03,0.39,0,0.15,0.09,4
UFC Fight Night 79 - Henderson vs. Masvidal,Dominique Steele,Dong Hyun Ma,Favorite,-0.39,-1,4,-0.52,0.08,-1.68,-0.05,1.68,-0.12,0.43,0,1
UFC Fight Night - VanZant vs Namajunas,Paige VanZant,Rose Namajunas,Underdog,-0.67,-1,0,-0.34,0.11,-0.89,-0.22,-0.11,-0.14,-0.25,0.5,-1
UFC Fight Night - VanZant vs Namajunas,Michael Chiesa,Jim Miller,Favorite,-0.42,5,4,-1.13,-0.02,-1.8,-0.03,1.8,0.06,0.13,-0.7,-4
UFC Fight Night - VanZant vs Namajunas,Sage Northcutt,Cody Pfister,Favorite,-6.62,2,-2,2.17,0.27,-0.84,0.06,-1.01,0.04,0.41,0.6,-5
UFC Fight Night - VanZant vs Namajunas,Elias Theodorou,Thiago Santos,Underdog,-1.62,-1,-1,0.47,-0.06,-0.18,0,0.39,-0.05,-0.07,-0.1,-5
UFC Fight Night - VanZant vs Namajunas,Tim Means,John Howard,Favorite,-3.14,7,3,2.93,-0.02,0.56,0.08,-1.55,-0.09,0.12,-0.2,-1
UFC Fight Night - VanZant vs Namajunas,Omari Akhmedov,Sergio Moraes,Underdog,-0.48,0,1,0.55,-0.08,-0.9,-0.04,1.38,0.07,-0.1,-0.2,-5
UFC Fight Night - VanZant vs Namajunas,Aljamain Sterling,Johnny Eduardo,Favorite,-4.63,0,0,1.66,0.13,-0.93,-0.06,2.09,0.07,-0.13,0.29,-11
UFC Fight Night - VanZant vs Namajunas,Santiago Ponzinibbio,Andreas Stahl,Favorite,-1.34,1,0,2.07,0.03,-0.08,0.04,-1.07,-0.37,-0.21,0,1
UFC Fight Night - VanZant vs Namajunas,Danny Roberts,Nathan Coy,Favorite,-0.67,3,5,-0.7,-0.13,1.33,-0.11,-2.93,-0.38,0.06,0.2,-9
UFC Fight Night - VanZant vs Namajunas,Zubaira Tukhugov,Phillipe Nover,Favorite,-2.6,-1,-4,1.38,0.04,0.58,0.06,1.13,0.1,0.56,-0.7,-7
UFC Fight Night - VanZant vs Namajunas,Kailin Curran,Emily Kagan,Favorite,-2.68,1,-1,1.29,0.07,-0.54,0.15,0.13,0.42,0.1,0.6,-9
UFC - The Ultimate Fighter 22 Finale,Frankie Edgar,Chad Mendes,Favorite,-0.28,0,2,0.99,-0.09,0.46,-0.03,-1.84,-0.25,-0.35,0,3
UFC - The Ultimate Fighter 22 Finale,Artem Lobov,Ryan Hall,Underdog,-0.89,-1,-5,1.14,-0.1,3.49,-0.16,0.17,0.16,0.52,-2.21,-2
UFC - The Ultimate Fighter 22 Finale,Tony Ferguson,Edson Barboza,Favorite,-1.19,0,1,0.83,0.01,-0.25,-0.02,-0.06,-0.16,-0.05,0.8,2
UFC - The Ultimate Fighter 22 Finale,Evan Dunham,Joe Lauzon,Favorite,-1.38,0,-1,2.49,0,-1.85,0.06,-0.58,-0.12,0.25,-1,2
UFC - The Ultimate Fighter 22 Finale,Tatsuya Kawajiri,Jason Knight,Favorite,-1.94,-3,-2,-0.92,0.1,-1.02,-0.02,2.31,0.17,0.16,-0.6,15
UFC - The Ultimate Fighter 22 Finale,Julian Erosa,Marcin Wrzosek,Favorite,-0.03,4,4,2.66,0.04,2.21,0.03,-1.37,0.21,0.24,0.8,-2
UFC - The Ultimate Fighter 22 Finale,Konstantin Erokhin,Gabriel Gonzaga,Underdog,-0.24,-3,-3,-1.05,-0.1,-1.11,-0.1,-2.8,-0.39,0.03,-1.11,-4
UFC - The Ultimate Fighter 22 Finale,Ryan LaFlare,Mike Pierce,Favorite,-1.51,5,3,0.27,-0.02,-0.5,0.01,-0.96,0.02,-0.13,0,-3
UFC - The Ultimate Fighter 22 Finale,Joby Sanchez,Geane Herrera,Underdog,-0.07,1,2,1.71,0.04,-2.26,0.1,0.12,0.34,0.13,-0.2,-1
UFC - The Ultimate Fighter 22 Finale,Chris Gruetzemacher,Abner Lloveras,Favorite,-1.04,-3,-4,-0.09,0.07,-1.91,0.09,-1.79,0.3,0.65,0,-4
UFC 194 - Aldo vs. McGregor,Jose Aldo,Conor McGregor,Underdog,-0.14,-2,-4,-1.7,-0.03,-0.94,0.05,-0.17,-0.03,0.25,0,2
UFC 194 - Aldo vs. McGregor,Chris Weidman,Luke Rockhold,Underdog,-0.47,-1,1,-0.92,-0.04,0.54,-0.03,2.74,0.13,0,-0.2,0
UFC 194 - Aldo vs. McGregor,Ronaldo Souza,Yoel Romero,Underdog,-0.51,-2,-3,0.29,-0.1,2.25,-0.15,-1.07,-0.14,-0.19,0,-19
UFC 194 - Aldo vs. McGregor,Demian Maia,Gunnar Nelson,Favorite,-0.06,2,0,-0.05,-0.18,-0.94,0.14,0.59,-0.35,-0.06,0,11
UFC 194 - Aldo vs. McGregor,Max Holloway,Jeremy Stephens,Favorite,-4.53,2,-2,4,0.07,1.67,0.01,-0.91,0.15,0.18,-0.11,-5
UFC 194 - Aldo vs. McGregor,Urijah Faber,Frankie Saenz,Favorite,-5.07,0,1,-1.29,-0.07,-0.92,0.12,-0.2,-0.02,-0.04,0.7,2
UFC 194 - Aldo vs. McGregor,Tecia Torres,Jocelyn Jones-Lybarger,Favorite,-2.31,0,6,-1.86,0.03,-3.59,0.08,1.72,0.08,-0.32,0,-9
UFC 194 - Aldo vs. McGregor,Colby Covington,Warlley Alves,Underdog,-0.21,0,0,0.83,-0.1,-0.98,0.05,2.57,-0.06,0.05,-0.61,3
UFC 194 - Aldo vs. McGregor,Kevin Lee,Leonardo Santos,Underdog,-5.23,-3,2,1.06,-0.05,0.2,-0.05,2.3,0.18,-0.11,0.6,-13
UFC 194 - Aldo vs. McGregor,Magomed Mustafaev,Joe Proctor,Favorite,-2.97,-2,-1,-0.81,0.21,-1.25,-0.18,3.31,0.5,-0.47,-1.4,-3
UFC 194 - Aldo vs. McGregor,John Makdessi,Yancy Medeiros,Underdog,-0.87,-2,-7,1.15,0.12,-1.52,0.21,-0.33,-0.5,0.13,-0.7,3
UFC 194 - Aldo vs. McGregor,Court McGee,Marcio Alexandre Jr.,Favorite,-1.01,-1,0,2.98,-0.09,0.73,0.19,1.49,0.04,0.02,-0.3,4
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Rafael dos Anjos,Donald Cerrone,Favorite,-1.14,-5,-3,-0.94,0,-1.28,0.06,0.79,0.01,-0.18,-0.6,-2
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Junior dos Santos,Alistair Overeem,Underdog,-2.02,0,-3,0.82,-0.18,0.89,-0.01,-1.12,-0.06,0.08,-0.7,-4
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Michael Johnson,Nate Diaz,Underdog,-4.01,-2,-3,-0.31,-0.06,0.06,0.04,-0.44,0.1,0.4,-1.3,-2
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Randa Markos,Karolina Kowalkiewicz,Underdog,-1.25,1,-1,-2.74,0,-2.45,0,0.78,0.05,-0.21,0,0
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Myles Jury,Charles Oliveira,Underdog,-0.92,0,-1,-0.46,-0.12,-1.04,0.15,-0.01,0.15,-0.06,-2.5,1
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,C.B. Dollaway,Nate Marquardt,Underdog,-3.39,2,2,-0.07,-0.03,0.26,-0.02,1.67,0.03,-0.08,0.39,-5
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Sarah Kaufman,Valentina Shevchenko,Underdog,-0.64,0,0,3.37,-0.06,1.89,0,-2.19,-0.07,0.1,-0.4,2
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Josh Samman,Tamdan McCrory,Underdog,-1.22,-1,3,0.01,0.03,0.87,-0.12,-1.19,-0.17,0,-2.1,-1
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Nik Lentz,Danny Castillo,Favorite,-0.15,-1,-3,0.87,0.04,1.29,-0.12,0.34,-0.06,-0.2,1,-5
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Kamaru Usman,Leon Edwards,Favorite,-1.94,-2,2,1.61,-0.02,0.4,0,1.56,0.1,0.19,-0.31,5
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Vicente Luque,Hayder Hassan,Favorite,-0.45,1,3,2.96,0.06,2.04,0.04,1,0.53,0.37,0.6,-9
UFC on Fox 17 - Dos Anjos vs. Cerrone 2,Francis Ngannou,Luis Henrique,Favorite,-0.38,2,9,0.52,-0.03,-0.07,-0.06,-2.33,0.26,0.2,-0.7,7
UFC 195 - Lawler vs Condit,Carlos Condit,Robbie Lawler,Underdog,0,3,1,-0.19,-0.08,-2,-0.04,-0.07,-0.18,-0.27,1,-2
UFC 195 - Lawler vs Condit,Stipe Miocic,Andrei Arlovski,Favorite,-1.51,1,3,1.04,0.08,0.61,-0.03,1.48,-0.02,-0.08,-0.2,-4
UFC 195 - Lawler vs Condit,Albert Tumenov,Lorenz Larkin,Favorite,-1.87,0,1,0.23,-0.05,0.59,-0.06,-0.08,-0.22,-0.05,-0.1,-5
UFC 195 - Lawler vs Condit,Brian Ortega,Diego Brandao,Favorite,-1.11,1,5,1.13,-0.09,3.16,-0.13,-2.04,-0.41,-0.24,0.6,-3
UFC 195 - Lawler vs Condit,Tony Sims,Abel Trujillo,Underdog,-0.55,3,0,-0.84,0.22,-1.55,0.06,-1.48,0.04,0.09,0.29,-2
UFC 195 - Lawler vs Condit,Michael McDonald,Masanori Kanehara,Favorite,-4.61,4,5,-1.88,-0.49,-1.23,-0.12,-1.44,-0.5,-0.63,-0.9,18
UFC 195 - Lawler vs Condit,Kyle Noke,Alex Morono,Underdog,-2.42,2,4,-1.64,0.09,-2.08,0.06,1.21,0.32,0.1,0.4,11
UFC 195 - Lawler vs Condit,Justine Kish,Nina Nunes,Favorite,-1.57,0,0,0.12,0.02,1.11,0.01,0.63,0,-0.23,-0.4,-2
UFC 195 - Lawler vs Condit,Scott Holtzman,Drew Dober,Underdog,-1.08,1,-1,-0.02,0.06,-0.58,0.04,1.17,0.38,0.1,0.1,5
UFC 195 - Lawler vs Condit,Joseph Duffy,Dustin Poirier,Underdog,-0.91,1,1,-2.77,-0.17,-0.59,0.01,-0.38,0.3,0.01,-0.7,1
UFC 195 - Lawler vs Condit,Michinori Tanaka,Joe Soto,Favorite,-0.32,-1,2,-1.39,-0.04,-3.38,-0.18,1.54,0.17,-0.27,-1.7,-4
UFC 195 - Lawler vs Condit,Sheldon Westcott,Edgar Garcia,Favorite,-0.74,3,0,-0.91,0.11,-0.51,-0.23,1.02,-0.2,-0.36,-0.6,-1
UFC Fight Night - Dillashaw vs. Cruz,T.J. Dillashaw,Dominick Cruz,Underdog,-0.59,-2,-1,1.17,0.07,0.86,-0.08,-1.26,-0.12,-0.06,0.7,-1
UFC Fight Night - Dillashaw vs. Cruz,Anthony Pettis,Eddie Alvarez,Underdog,-2.77,1,3,-1.28,0.06,-0.95,-0.02,-2.31,0.14,-0.33,0.6,-3
UFC Fight Night - Dillashaw vs. Cruz,Travis Browne,Matt Mitrione,Favorite,-0.66,3,-3,-0.62,-0.1,1.51,-0.23,1.21,0.68,0.19,-0.5,-4
UFC Fight Night - Dillashaw vs. Cruz,Ross Pearson,Francisco Trinaldo,Underdog,-0.64,-1,-1,0.55,-0.05,1.42,0.02,-0.24,-0.08,0.15,-0.5,-6
UFC Fight Night - Dillashaw vs. Cruz,Ben Saunders,Patrick Cote,Underdog,-0.23,3,2,0.41,0.02,0.37,0.03,-0.49,0.2,0.23,1.1,-3
UFC Fight Night - Dillashaw vs. Cruz,Tim Boetsch,Ed Herman,Underdog,-1.42,-1,-3,-0.38,0.02,-0.81,0.14,-0.51,-0.13,0,-0.2,0
UFC Fight Night - Dillashaw vs. Cruz,Chris Wade,Mehdi Baghdad,Favorite,-2.87,-3,-5,-1.43,0.23,-2.81,0.04,2.6,0.51,0.22,1.1,-3
UFC Fight Night - Dillashaw vs. Cruz,Maximo Blanco,Luke Sanders,Underdog,-0.16,2,4,-2.5,-0.09,-1.19,0.16,1.14,0.06,-0.09,0.09,2
UFC Fight Night - Dillashaw vs. Cruz,Paul Felder,Daron Cruickshank,Favorite,-1.84,3,-2,0.82,0.06,0.46,-0.09,-1.75,-0.13,0.04,0,2
UFC Fight Night - Dillashaw vs. Cruz,Ilir Latifi,Sean O'Connell,Favorite,-1.95,-3,-1,-3.41,-0.03,-3.84,0.11,2.11,0.35,0.7,-0.2,1
UFC Fight Night - Dillashaw vs. Cruz,Charles Rosa,Kyle Bochniak,Favorite,-1.8,2,-1,0.45,0.04,-1.26,-0.11,0.53,0.2,-0.24,1,0
UFC Fight Night - Dillashaw vs. Cruz,Rob Font,Joey Gomez,Favorite,-1.4,-2,-2,3.09,0.17,-0.81,0.01,0.27,-0.65,-0.04,0.3,-1
UFC Fight Night - Dillashaw vs. Cruz,Elvis Mutapcic,Francimar Barroso,Underdog,-0.79,-1,-3,0.64,-0.12,1.19,-0.21,-2.23,-0.24,-0.02,0,-7
UFC on Fox 18 - Johnson vs. Bader,Anthony Johnson,Ryan Bader,Favorite,-1.9,0,4,0.43,0.03,0.44,-0.11,-0.94,0.12,-0.04,0.19,0
UFC on Fox 18 - Johnson vs. Bader,Josh Barnett,Ben Rothwell,Underdog,-0.47,-1,0,-0.51,0.08,-2.52,0.09,0.57,0.21,-0.15,0.99,4
UFC on Fox 18 - Johnson vs. Bader,Jimmie Rivera,Yuri Alcantara,Favorite,-0.84,-5,-3,1.31,-0.05,1.1,0.1,-0.56,-0.35,0.32,-0.7,-9
UFC on Fox 18 - Johnson vs. Bader,Sage Northcutt,Bryan Barberena,Underdog,-2.04,0,-1,-1.77,0.04,-2.63,0.13,1.68,0.12,-0.1,0.3,-7
UFC on Fox 18 - Johnson vs. Bader,Tarec Saffiedine,Jake Ellenberger,Favorite,-1.82,1,-1,1.57,0.07,0.23,0.02,-1.52,-0.11,-0.03,-0.31,-2
UFC on Fox 18 - Johnson vs. Bader,Olivier Aubin-Mercier,Carlos Diego Ferreira,Underdog,-1.89,0,-4,-2.56,0.12,-0.46,-0.02,1.4,0.03,0.09,-0.1,-4
UFC on Fox 18 - Johnson vs. Bader,Rafael Natal,Kevin Casey,Favorite,-0.94,1,0,0.83,-0.07,-1.28,0.1,1.75,0.12,0.5,0.09,-1
UFC on Fox 18 - Johnson vs. Bader,Dustin Ortiz,Wilson Reis,Underdog,-1.63,1,0,1.1,0.15,-0.88,0.01,-2.15,-0.06,0.05,-0.5,-4
UFC on Fox 18 - Johnson vs. Bader,Alexander Yakovlev,George Sullivan,Favorite,-0.21,3,1,-1.79,0.07,-0.01,0.01,0.28,0.14,0.34,-0.6,-4
UFC on Fox 18 - Johnson vs. Bader,Alex Caceres,Masio Fullen,Favorite,-1.91,0,3,1.75,0.17,-0.42,0.07,0.07,0.35,-0.05,0.7,-2
UFC on Fox 18 - Johnson vs. Bader,Randy Brown,Matt Dwyer,Favorite,-0.35,-1,2,1.8,0.12,0.08,0,0.34,0.29,0.14,0.5,-1
UFC on Fox 18 - Johnson vs. Bader,Tony Martin,Felipe Olivieri,Favorite,-0.93,3,1,-4,-0.21,-2.01,0.01,0.71,0.27,-0.03,1,-5
UFC Fight Night 82 - Hendricks vs. Thompson,Johny Hendricks,Stephen Thompson,Underdog,-1.92,-3,-6,-0.63,-0.02,0.96,-0.02,3.57,0.05,-0.03,0.3,-1
UFC Fight Night 82 - Hendricks vs. Thompson,Roy Nelson,Jared Rosholt,Favorite,-0.78,-2,-2,0.1,-0.11,3.27,-0.13,-0.7,-0.14,-0.02,0,10
UFC Fight Night 82 - Hendricks vs. Thompson,Ovince St Preux,Rafael Cavalcante,Favorite,-2.72,2,6,0.31,-0.07,-0.31,-0.03,0.5,-0.05,0.04,0.4,-3
UFC Fight Night 82 - Hendricks vs. Thompson,Joseph Benavidez,Zach Makovsky,Favorite,-3.45,0,1,1.58,-0.09,0.42,-0.02,-2.3,0,0.05,0.3,-2
UFC Fight Night 82 - Hendricks vs. Thompson,Misha Cirkunov,Alex Nicholson,Favorite,-7.12,-1,0,-0.27,0.08,-1.6,0.09,4.15,0.39,0.26,1.2,3
UFC Fight Night 82 - Hendricks vs. Thompson,Sean Spencer,Mike Pyle,Underdog,-0.48,-2,0,1.5,-0.13,1.17,0,-1.66,-0.02,-0.02,-1.5,-12
UFC Fight Night 82 - Hendricks vs. Thompson,Josh Burkman,K.J. Noons,Favorite,-0.78,0,2,-1,0.08,-0.65,-0.15,2.44,0.15,0.03,0.3,3
UFC Fight Night 82 - Hendricks vs. Thompson,Damian Grabowski,Derrick Lewis,Underdog,-0.14,-2,-4,1.52,-0.15,5.17,0.1,-0.57,-0.26,-0.52,0,5
UFC Fight Night 82 - Hendricks vs. Thompson,Ray Borg,Justin Scoggins,Underdog,-1.72,-3,-3,-2.04,0.01,-0.24,-0.08,0.47,-0.13,-0.36,0.5,-2
UFC Fight Night 82 - Hendricks vs. Thompson,Noad Lahat,Diego Rivas,Underdog,-2.72,1,0,1.42,0.06,-0.68,0.1,0.58,-0.34,-0.48,1.5,7
UFC Fight Night 82 - Hendricks vs. Thompson,Mickey Gall,Mike Jackson,Favorite,-4.13,0,0,-1.56,-0.11,0.52,-0.13,0.5,-0.04,-0.52,1.9,-7
UFC Fight Night 82 - Hendricks vs. Thompson,Artem Lobov,Alex White,Underdog,-0.4,-3,-6,-0.24,-0.02,1.75,-0.1,-0.53,-0.04,-0.19,-0.5,2
UFC Fight Night 82 - Cerrone vs. Oliveira,Donald Cerrone,Alex Oliveira,Favorite,-2.05,2,-3,1.42,-0.05,1.93,0.07,-1.2,-0.05,0.09,0.6,5
UFC Fight Night 82 - Cerrone vs. Oliveira,Derek Brunson,Roan Carneiro,Favorite,-3.14,2,1,2.04,0,1.22,-0.11,0.09,-0.09,0.02,-0.8,-5
UFC Fight Night 82 - Cerrone vs. Oliveira,Cody Garbrandt,Augusto Mendes,Favorite,-3.07,2,0,0.56,0.06,-0.16,0.03,-0.72,0.01,0,0,-9
UFC Fight Night 82 - Cerrone vs. Oliveira,Dennis Bermudez,Tatsuya Kawajiri,Favorite,-3.04,-1,-3,2.38,0.02,1.06,0.08,0.26,-0.08,0.18,0,-9
UFC Fight Night 82 - Cerrone vs. Oliveira,Chris Camozzi,Joe Riggs,Favorite,-1.82,2,5,1.15,-0.08,1.27,-0.01,-2.19,-0.37,-0.06,-0.1,-4
UFC Fight Night 82 - Cerrone vs. Oliveira,James Krause,Shane Campbell,Favorite,-0.69,2,2,0.79,-0.1,0.92,0.05,-0.41,-0.11,-0.23,0.9,0
UFC Fight Night 82 - Cerrone vs. Oliveira,Alex Garcia,Sean Strickland,Underdog,-0.18,-4,-4,-4.1,-0.1,-1.31,-0.04,2.87,-0.12,-0.11,-0.1,3
UFC Fight Night 82 - Cerrone vs. Oliveira,Daniel Sarafian,Oluwale Bamgbose,Underdog,-1.08,-2,-5,-0.23,-0.02,0.39,0.02,-0.58,-0.26,0.16,0.7,5
UFC Fight Night 82 - Cerrone vs. Oliveira,Anthony Smith,Leonardo Guimaraes,Favorite,-0.43,4,3,0.87,-0.09,1.47,0.02,0.49,0.26,-0.04,-0.31,-7
UFC Fight Night 82 - Cerrone vs. Oliveira,Jonavin Webb,Nathan Coy,Underdog,-1.91,0,2,-2.41,-0.23,-0.13,0.03,-0.67,-0.16,-0.1,1,-10
UFC Fight Night 82 - Cerrone vs. Oliveira,Marion Reneau,Ashlee Evans-Smith,Underdog,-1.06,-2,1,-0.83,0.06,-1.07,0.05,-0.33,0.41,0,0.8,10
UFC Fight Night 82 - Cerrone vs. Oliveira,Lauren Murphy,Kelly Faszholz,Favorite,-2.67,-3,0,0.04,-0.09,1.64,0.03,1.03,0.25,0.24,0.1,1
UFC Fight Night 82 - Cerrone vs. Oliveira,Shamil Abdurakhimov,Anthony Hamilton,Favorite,-0.1,-2,0,-1.5,-0.22,0,0.1,-1.61,-0.19,-0.33,0.1,-2
UFC Fight Night 84 - Silva vs. Bisping,Anderson Silva,Michael Bisping,Underdog,-2.02,1,2,-1.29,0.23,-0.67,-0.06,-0.56,0.34,0.05,0.5,4
UFC Fight Night 84 - Silva vs. Bisping,Gegard Mousasi,Thales Leites,Favorite,-2.41,1,-2,1.62,0.09,-1.79,0.16,-0.51,0.32,0.28,0,-4
