,Event Title,Fighter A,Fighter B,Winner,Odds A,Odds B,Underdog,Favorite
1726,UFC Fight Night 121 Sydney,Tim Means,Belal Muhammad,Belal Muhammad,1.5,2.85,Belal Muhammad,Tim Means
1727,UFC Fight Night 121 Sydney,Jake Matthews,Bojan Velickovic,Jake Matthews,1.77,2.25,Bojan Velickovic,Jake Matthews
1728,UFC Fight Night 121 Sydney,Elias Theodorou,Daniel Kelly,Elias Theodorou,1.41,3.6,Daniel Kelly,Elias Theodorou
1729,UFC Fight Night 121 Sydney,Alex Volkanovski,Shane Young,Alex Volkanovski,1.17,6.4,Shane Young,Alex Volkanovski
1730,UFC Fight Night 121 Sydney,Ryan Benoit,Ashkan Mokhtarian,Ryan Benoit,1.39,3.55,Ashkan Mokhtarian,Ryan Benoit
1731,UFC Fight Night 121 Sydney,Will Brooks,Nik Lentz,Nik Lentz,1.24,5.05,Nik Lentz,Will Brooks
1732,UFC Fight Night 121 Sydney,Tai Tuivasa,Rashad Coulter,Tai Tuivasa,1.59,2.6,Rashad Coulter,Tai Tuivasa
1733,UFC Fight Night 121 Sydney,Damien Brown,Frank Camacho,Frank Camacho,2.2,1.8,Damien Brown,Frank Camacho
1734,UFC Fight Night 121 Sydney,Nadia Kassem,Alex Chambers,Nadia Kassem,1.62,2.65,Alex Chambers,Nadia Kassem
1735,UFC Fight Night 121 Sydney,Jenel Lausa,Eric Shelton,Eric Shelton,4.15,1.29,Jenel Lausa,Eric Shelton
1736,UFC Fight Night 121 Sydney,Anthony Hamilton,Adam Wieczorek,Adam Wieczorek,2.45,1.65,Anthony Hamilton,Adam Wieczorek
1737,UFC Fight Night 122 Bisping vs. Gastellum,Michael Bisping,Kelvin Gastelum,Kelvin Gastelum,3.53,1.38,Michael Bisping,Kelvin Gastelum
1738,UFC Fight Night 122 Bisping vs. Gastellum,Zabit Magomedsharipov,Sheymon da Silva Moraes,Zabit Magomedsharipov,1.22,5.5,Sheymon da Silva Moraes,Zabit Magomedsharipov
1739,UFC Fight Night 122 Bisping vs. Gastellum,Chase Sherman,Shamil Abdurakhimov,Shamil Abdurakhimov,2.17,1.8,Chase Sherman,Shamil Abdurakhimov
1740,UFC Fight Night 122 Bisping vs. Gastellum,Alex Caceres,Wang Guan,Wang Guan,1.77,2.3,Wang Guan,Alex Caceres
1741,UFC Fight Night 122 Bisping vs. Gastellum,Li Jingliang,Zak Ottow,Li Jingliang,1.54,2.85,Zak Ottow,Li Jingliang
1742,UFC Fight Night 122 Bisping vs. Gastellum,Kailin Curran,Yan Xiaonan,Yan Xiaonan,2.38,1.73,Kailin Curran,Yan Xiaonan
1743,UFC Fight Night 122 Bisping vs. Gastellum,Rolando Dy,Wuliji Buren,Rolando Dy,1.68,2.45,Wuliji Buren,Rolando Dy
1744,UFC Fight Night 122 Bisping vs. Gastellum,Bobby Nash,Kenan Song,Kenan Song,1.33,3.75,Kenan Song,Bobby Nash
1745,UFC Fight Night 122 Bisping vs. Gastellum,Alex Garcia,Muslim Salikhov,Alex Garcia,3,1.49,Alex Garcia,Muslim Salikhov
1746,UFC Fight Night 122 Bisping vs. Gastellum,Yadong Song,Bharat Khandare,Yadong Song,1.71,2.4,Bharat Khandare,Yadong Song
1747,UFC Fight Night 122 Bisping vs. Gastellum,Gina Mazany,Yanan Wu,Gina Mazany,2.25,2.25,Gina Mazany,Yanan Wu
1748,UFC Fight Night 122 Bisping vs. Gastellum,Hu Yaozong,Cyril Asker,Cyril Asker,3.16,1.45,Hu Yaozong,Cyril Asker
1749,TUF 26 Finale,Roxanne Modafferi,Nicco Montano,Nicco Montano,2.8,1.51,Roxanne Modafferi,Nicco Montano
1750,TUF 26 Finale,Sean O'Malley,Terrion Ware,Sean O'Malley,1.42,3.23,Terrion Ware,Sean O'Malley
1751,TUF 26 Finale,Barb Honchak,Lauren Murphy,Lauren Murphy,1.52,2.96,Lauren Murphy,Barb Honchak
1752,TUF 26 Finale,Gerald Meerschaert,Eric Spicely,Gerald Meerschaert,1.54,2.69,Eric Spicely,Gerald Meerschaert
1753,TUF 26 Finale,Joe Soto,Brett Johns,Brett Johns,2.67,1.62,Joe Soto,Brett Johns
1754,TUF 26 Finale,Montana De La Rosa,Christina Marks,Montana De La Rosa,1.29,4.09,Christina Marks,Montana De La Rosa
1755,TUF 26 Finale,Andrew Sanchez,Ryan Janes,Ryan Janes,1.21,5.44,Ryan Janes,Andrew Sanchez
1756,TUF 26 Finale,Rachael Ostovich,Karine Gevorgyan,Rachael Ostovich,1.28,4.09,Karine Gevorgyan,Rachael Ostovich
1757,TUF 26 Finale,Ariel Beck,Shana Dobson,Shana Dobson,2.95,1.53,Ariel Beck,Shana Dobson
1758,TUF 26 Finale,Gillian Robertson,Emily Whitmire,Gillian Robertson,2.75,1.55,Gillian Robertson,Emily Whitmire
1759,UFC Fight Night 123,Cub Swanson,Brian Ortega,Brian Ortega,2.05,1.95,Cub Swanson,Brian Ortega
1760,UFC Fight Night 123,Jason Knight,Gabriel Benitez,Gabriel Benitez,1.34,3.75,Gabriel Benitez,Jason Knight
1761,UFC Fight Night 123,Aljamain Sterling,Marlon Moraes,Marlon Moraes,2.36,1.71,Aljamain Sterling,Marlon Moraes
1762,UFC Fight Night 123,Scott Holtzman,Darrell Horcher,Scott Holtzman,1.86,2.31,Darrell Horcher,Scott Holtzman
1763,UFC Fight Night 123,Eryk Anders,Markus Perez,Eryk Anders,1.36,5,Markus Perez,Eryk Anders
1764,UFC Fight Night 123,Benito Lopez,Albert Morales,Benito Lopez,1.83,2.1,Albert Morales,Benito Lopez
1765,UFC Fight Night 123,Liz Carmouche,Alexis Davis,Alexis Davis,1.87,2.5,Alexis Davis,Liz Carmouche
1766,UFC Fight Night 123,Luke Sanders,Andre Soukhamthath,Andre Soukhamthath,1.4,3.95,Andre Soukhamthath,Luke Sanders
1767,UFC Fight Night 123,Alex Perez,Carls John de Tomas,Alex Perez,1.29,4.48,Carls John de Tomas,Alex Perez
1768,UFC Fight Night 123,Frankie Saenz,Merab Dvalishvili,Frankie Saenz,2.7,1.62,Frankie Saenz,Merab Dvalishvili
1769,UFC Fight Night 123,Yuri Alcantara,Alejandro Perez,Alejandro Perez,1.59,2.7,Alejandro Perez,Yuri Alcantara
1770,UFC Fight Night 123,Chris Gruetzemacher,Davi Ramos,Davi Ramos,4.36,1.28,Chris Gruetzemacher,Davi Ramos
1771,UFC Fight Night 123,Antonio Braga Neto,Trevin Giles,Trevin Giles,3.45,1.41,Antonio Braga Neto,Trevin Giles
1772,UFC on Fox 26 Lawler vs. dos Anjos,Robbie Lawler,Rafael dos Anjos,Rafael dos Anjos,2.1,1.91,Robbie Lawler,Rafael dos Anjos
1773,UFC on Fox 26 Lawler vs. dos Anjos,Josh Emmett,Ricardo Lamas,Josh Emmett,3.45,1.4,Josh Emmett,Ricardo Lamas
1774,UFC on Fox 26 Lawler vs. dos Anjos,Santiago Ponzinibbio,Mike Perry,Santiago Ponzinibbio,1.69,2.6,Mike Perry,Santiago Ponzinibbio
1775,UFC on Fox 26 Lawler vs. dos Anjos,Glover Teixeira,Misha Cirkunov,Glover Teixeira,2.55,1.62,Glover Teixeira,Misha Cirkunov
1776,UFC on Fox 26 Lawler vs. dos Anjos,Jan Blachowicz,Jared Cannonier,Jan Blachowicz,2.69,1.56,Jan Blachowicz,Jared Cannonier
1777,UFC on Fox 26 Lawler vs. dos Anjos,Darren Stewart,Julian Marquez,Julian Marquez,4,1.38,Darren Stewart,Julian Marquez
1778,UFC on Fox 26 Lawler vs. dos Anjos,Chad Laprise,Galore Bofando,Chad Laprise,1.74,2.35,Galore Bofando,Chad Laprise
1779,UFC on Fox 26 Lawler vs. dos Anjos,Nordine Taleb,Danny Roberts,Nordine Taleb,1.74,2.45,Danny Roberts,Nordine Taleb
1780,UFC on Fox 26 Lawler vs. dos Anjos,Abel Trujillo,John Makdessi,John Makdessi,1.74,2.7,John Makdessi,Abel Trujillo
1781,UFC on Fox 26 Lawler vs. dos Anjos,Alessio Di Chirico,Oluwale Bamgbose,Alessio Di Chirico,1.87,2.21,Oluwale Bamgbose,Alessio Di Chirico
1782,UFC on Fox 26 Lawler vs. dos Anjos,Erick Silva,Jordan Mein,Jordan Mein,2.45,1.77,Erick Silva,Jordan Mein
1783,UFC 219,Cristiane Justino,Holly Holm,Cristiane Justino,1.43,3.75,Holly Holm,Cristiane Justino
1784,UFC 219,Edson Barboza,Khabib Nurmagomedov,Khabib Nurmagomedov,4.4,1.35,Edson Barboza,Khabib Nurmagomedov
1785,UFC 219,Marc Diakiese,Daniel Hooker,Daniel Hooker,1.57,2.69,Daniel Hooker,Marc Diakiese
1786,UFC 219,Cynthia Calvillo,Carla Esparza,Carla Esparza,1.5,3.45,Carla Esparza,Cynthia Calvillo
1787,UFC 219,Carlos Condit,Neil Magny,Neil Magny,1.78,2.55,Neil Magny,Carlos Condit
1788,UFC 219,Michal Oleksiejczuk,Khalil Rountree,Michal Oleksiejczuk,4.2,1.33,Michal Oleksiejczuk,Khalil Rountree
1789,UFC 219,Myles Jury,Rick Glenn,Myles Jury,1.5,3.1,Rick Glenn,Myles Jury
1790,UFC 219,Louis Smolka,Matheus Nicolau,Matheus Nicolau,3.55,1.48,Louis Smolka,Matheus Nicolau
1791,UFC 219,Tim Elliott,Mark Delarosa,Tim Elliott,1.54,2.8,Mark Delarosa,Tim Elliott
1792,UFC Fight Night 124,Doo Ho Choi,Jeremy Stephens,Jeremy Stephens,1.67,2.5,Jeremy Stephens,Doo Ho Choi
1793,UFC Fight Night 124,Michael Johnson,Darren Elkins,Darren Elkins,1.65,2.75,Darren Elkins,Michael Johnson
1794,UFC Fight Night 124,Kamaru Usman,Emil Meek,Kamaru Usman,1.17,6.7,Emil Meek,Kamaru Usman
1795,UFC Fight Night 124,James Krause,Alex White,James Krause,1.62,2.61,Alex White,James Krause
1796,UFC Fight Night 124,Paige VanZant,Jessica-Rose Clark,Jessica-Rose Clark,2,2.03,Jessica-Rose Clark,Paige VanZant
1797,UFC Fight Night 124,Kalindra Faria,Jessica Eye,Jessica Eye,2.18,1.84,Kalindra Faria,Jessica Eye
1798,UFC Fight Night 124,Irene Aldana,Talita Bernardo,Irene Aldana,1.76,3,Talita Bernardo,Irene Aldana
1799,UFC Fight Night 124,Marco Polo Reyes,Matt Frevola,Marco Polo Reyes,2.9,1.5,Marco Polo Reyes,Matt Frevola
1800,UFC Fight Night 124,Kyung Ho Kang,Guido Cannetti,Kyung Ho Kang,1.36,3.85,Guido Cannetti,Kyung Ho Kang
1801,UFC Fight Night 124,Danielle Taylor,J.J. Aldrich,J.J. Aldrich,2.1,1.91,Danielle Taylor,J.J. Aldrich
1802,UFC Fight Night 124,Mike Santiago,Mads Burnell,Mads Burnell,1.56,2.75,Mads Burnell,Mike Santiago
1803,UFC 220,Stipe Miocic,Francis Ngannou,Stipe Miocic,2.65,1.61,Stipe Miocic,Francis Ngannou
1804,UFC 220,Daniel Cormier,Volkan Oezdemir,Daniel Cormier,1.33,4,Volkan Oezdemir,Daniel Cormier
1805,UFC 220,Calvin Kattar,Shane Burgos,Calvin Kattar,2.69,1.67,Calvin Kattar,Shane Burgos
1806,UFC 220,Gian Villante,Francimar Barroso,Gian Villante,1.62,2.55,Francimar Barroso,Gian Villante
1807,UFC 220,Thomas Almeida,Rob Font,Rob Font,1.9,2,Rob Font,Thomas Almeida
1808,UFC 220,Kyle Bochniak,Brandon Davis,Kyle Bochniak,2.1,1.87,Kyle Bochniak,Brandon Davis
1809,UFC 220,Abdul Razak Alhassan,Sabah Homasi,Abdul Razak Alhassan,1.52,2.8,Sabah Homasi,Abdul Razak Alhassan
1810,UFC 220,Dustin Ortiz,Alexandre Pantoja,Dustin Ortiz,2.45,1.74,Dustin Ortiz,Alexandre Pantoja
1811,UFC 220,Dan Ige,Julio Arce,Julio Arce,2.33,1.71,Dan Ige,Julio Arce
1812,UFC 220,Enrique Barzola,Matt Bessette,Enrique Barzola,1.48,3.01,Matt Bessette,Enrique Barzola
1813,UFC 220,Gleison Tibau,Islam Makhachev,Islam Makhachev,3.16,1.48,Gleison Tibau,Islam Makhachev
1814,UFC on Fox 27,Ronaldo Souza,Derek Brunson,Ronaldo Souza,2.2,2.25,Derek Brunson,Ronaldo Souza
1815,UFC on Fox 27,Andre Fili,Dennis Bermudez,Andre Fili,2.55,1.67,Andre Fili,Dennis Bermudez
1816,UFC on Fox 27,Gregor Gillespie,Jordan Rinaldi,Gregor Gillespie,1.36,5.5,Jordan Rinaldi,Gregor Gillespie
1817,UFC on Fox 27,Drew Dober,Frank Camacho,Drew Dober,1.67,2.5,Frank Camacho,Drew Dober
1818,UFC on Fox 27,Bobby Green,Erik Koch,Bobby Green,1.62,2.62,Erik Koch,Bobby Green
1819,UFC on Fox 27,Godofredo Pepey,Mirsad Bektic,Mirsad Bektic,5.65,1.21,Godofredo Pepey,Mirsad Bektic
1820,UFC on Fox 27,Mara Romero Borella,Katlyn Chookagian,Katlyn Chookagian,2.75,1.65,Mara Romero Borella,Katlyn Chookagian
1821,UFC on Fox 27,Randa Markos,Juliana Lima,Randa Markos,1.68,2.4,Juliana Lima,Randa Markos
1822,UFC on Fox 27,Ji Yeon Kim,Justine Kish,Ji Yeon Kim,3.4,1.65,Ji Yeon Kim,Justine Kish
1823,UFC on Fox 27,Vinc Pichel,Joaquim Silva,Vinc Pichel,2.18,1.91,Vinc Pichel,Joaquim Silva
1824,UFC on Fox 27,Niko Price,George Sullivan,Niko Price,1.39,4.14,George Sullivan,Niko Price
1825,UFC on Fox 27,Cory Sandhagen,Austin Arnett,Cory Sandhagen,2.2,2.87,Austin Arnett,Cory Sandhagen
1826,UFC Fight Night 125,Lyoto Machida,Eryk Anders,Lyoto Machida,3.25,1.44,Lyoto Machida,Eryk Anders
1827,UFC Fight Night 125,Valentina Shevchenko,Priscila Cachoeira,Valentina Shevchenko,1.12,8.95,Priscila Cachoeira,Valentina Shevchenko
1828,UFC Fight Night 125,Desmond Green,Michel Prazeres,Michel Prazeres,2.3,1.87,Desmond Green,Michel Prazeres
1829,UFC Fight Night 125,Timothy Johnson,Marcelo Golm,Timothy Johnson,2.55,1.62,Timothy Johnson,Marcelo Golm
1830,UFC Fight Night 125,Douglas Silva de Andrade,Marlon Vera,Douglas Silva de Andrade,2.75,1.71,Douglas Silva de Andrade,Marlon Vera
1831,UFC Fight Night 125,Thiago Santos,Anthony Smith,Thiago Santos,1.4,3.4,Anthony Smith,Thiago Santos
1832,UFC Fight Night 125,Sergio Moraes,Tim Means,Sergio Moraes,2.95,1.53,Sergio Moraes,Tim Means
1833,UFC Fight Night 125,Alan Patrick,Damir Hadzovic,Alan Patrick,1.46,3.15,Damir Hadzovic,Alan Patrick
1834,UFC Fight Night 125,Maia Stevenson,Polyana Viana,Polyana Viana,4.75,1.3,Maia Stevenson,Polyana Viana
1835,UFC Fight Night 125,Yuri Alcantara,Joe Soto,Yuri Alcantara,2,2,Yuri Alcantara,Joe Soto
1836,UFC Fight Night 125,Deiveson Figueiredo,Joseph Morales,Deiveson Figueiredo,2.2,2.2,Deiveson Figueiredo,Joseph Morales
1837,UFC 221,Yoel Romero,Luke Rockhold,Yoel Romero,2.67,2.5,Yoel Romero,Luke Rockhold
1838,UFC 221,Mark Hunt,Curtis Blaydes,Curtis Blaydes,2.69,1.65,Mark Hunt,Curtis Blaydes
1839,UFC 221,Cyril Asker,Tai Tuivasa,Tai Tuivasa,3.75,1.39,Cyril Asker,Tai Tuivasa
1840,UFC 221,Jake Matthews,Li Jingliang,Jake Matthews,2.55,1.71,Jake Matthews,Li Jingliang
1841,UFC 221,Tyson Pedro,Saparbek Safarov,Tyson Pedro,1.37,3.55,Saparbek Safarov,Tyson Pedro
1842,UFC 221,Damien Brown,Dong Hyun Ma,Dong Hyun Ma,2.25,1.77,Damien Brown,Dong Hyun Ma
1843,UFC 221,Rob Wilkinson,Israel Adesanya,Israel Adesanya,3.8,1.33,Rob Wilkinson,Israel Adesanya
1844,UFC 221,Jeremy Kennedy,Alex Volkanovski,Alex Volkanovski,2.9,1.74,Jeremy Kennedy,Alex Volkanovski
1845,UFC 221,Ben Nguyen,Jussier Formiga,Jussier Formiga,2,1.98,Ben Nguyen,Jussier Formiga
1846,UFC 221,Ross Pearson,Mizuto Hirota,Ross Pearson,1.69,2.6,Mizuto Hirota,Ross Pearson
1847,UFC 221,Teruto Ishihara,Jose Quinonez,Jose Quinonez,2.7,1.66,Teruto Ishihara,Jose Quinonez
1848,UFC 221,Luke Jumeau,Daichi Abe,Luke Jumeau,2.45,1.71,Luke Jumeau,Daichi Abe
1849,UFC Fight Night 126,Donald Cerrone,Yancy Medeiros,Donald Cerrone,2.09,2.25,Yancy Medeiros,Donald Cerrone
1850,UFC Fight Night 126,Derrick Lewis,Marcin Tybura,Derrick Lewis,2.2,2,Derrick Lewis,Marcin Tybura
1851,UFC Fight Night 126,James Vick,Francisco Trinaldo,James Vick,1.5,3,Francisco Trinaldo,James Vick
1852,UFC Fight Night 126,Curtis Millender,Thiago Alves,Curtis Millender,2.45,1.69,Curtis Millender,Thiago Alves
1853,UFC Fight Night 126,Brandon Davis,Steven Peterson,Brandon Davis,1.69,2.54,Steven Peterson,Brandon Davis
1854,UFC Fight Night 126,Sage Northcutt,Thibault Gouti,Sage Northcutt,1.35,4.25,Thibault Gouti,Sage Northcutt
1855,UFC Fight Night 126,Jared Gordon,Carlos Diego Ferreira,Carlos Diego Ferreira,1.59,3.2,Carlos Diego Ferreira,Jared Gordon
1856,UFC Fight Night 126,Brian Camozzi,Geoff Neal,Geoff Neal,,,,
1857,UFC Fight Night 126,Roberto Sanchez,Joby Sanchez,Roberto Sanchez,2.35,1.75,Roberto Sanchez,Joby Sanchez
1858,UFC Fight Night 126,Sarah Moras,Lucie Pudilova,Lucie Pudilova,2.4,1.74,Sarah Moras,Lucie Pudilova
1859,UFC Fight Night 126,Alex Morono,Josh Burkman,Alex Morono,1.36,4.15,Josh Burkman,Alex Morono
1860,UFC Fight Night 126,Tim Williams,Oskar Piechota,Oskar Piechota,3.95,1.35,Tim Williams,Oskar Piechota
1861,UFC on Fox 28,Jeremy Stephens,Josh Emmett,Jeremy Stephens,1.82,2.3,Josh Emmett,Jeremy Stephens
1862,UFC on Fox 28,Jessica Andrade,Tecia Torres,Jessica Andrade,1.44,3.4,Tecia Torres,Jessica Andrade
1863,UFC on Fox 28,Ovince St Preux,Ilir Latifi,Ilir Latifi,1.8,2.55,Ilir Latifi,Ovince St Preux
1864,UFC on Fox 28,Mike Perry,Max Griffin,Max Griffin,1.36,4.75,Max Griffin,Mike Perry
1865,UFC on Fox 28,Renan Barao,Brian Kelleher,Brian Kelleher,1.66,2.65,Brian Kelleher,Renan Barao
1866,UFC on Fox 28,Marion Reneau,Sara McMann,Marion Reneau,2.75,1.57,Marion Reneau,Sara McMann
1867,UFC on Fox 28,Angela Hill,Maryna Moroz,Angela Hill,1.77,2.35,Maryna Moroz,Angela Hill
1868,UFC on Fox 28,Alan Jouban,Ben Saunders,Alan Jouban,1.43,3.35,Ben Saunders,Alan Jouban
1869,UFC on Fox 28,Sam Alvey,Marcin Prachnio,Sam Alvey,3.15,1.47,Sam Alvey,Marcin Prachnio
1870,UFC on Fox 28,Rani Yahya,Russell Doane,Rani Yahya,1.5,3.15,Russell Doane,Rani Yahya
1871,UFC on Fox 28,Eric Shelton,Alex Perez,Alex Perez,2.1,2.25,Alex Perez,Eric Shelton
1872,UFC on Fox 28,Albert Morales,Manny Bermudez,Manny Bermudez,2.58,1.65,Albert Morales,Manny Bermudez
1873,UFC 222,Cristiane Justino,Yana Santos,Cristiane Justino,1.11,9.8,Yana Santos,Cristiane Justino
1874,UFC 222,Brian Ortega,Frankie Edgar,Brian Ortega,2.5,1.69,Brian Ortega,Frankie Edgar
1875,UFC 222,Sean O'Malley,Andre Soukhamthath,Sean O'Malley,2.08,2.37,Andre Soukhamthath,Sean O'Malley
1876,UFC 222,Andrei Arlovski,Stefan Struve,Andrei Arlovski,2.7,1.59,Andrei Arlovski,Stefan Struve
1877,UFC 222,Cat Zingano,Ketlen Vieira,Ketlen Vieira,2.8,1.83,Cat Zingano,Ketlen Vieira
1878,UFC 222,Ashley Yoder,Mackenzie Dern,Mackenzie Dern,5.05,1.25,Ashley Yoder,Mackenzie Dern
1879,UFC 222,Beneil Dariush,Alexander Hernandez,Alexander Hernandez,1.27,4.75,Alexander Hernandez,Beneil Dariush
1880,UFC 222,John Dodson,Pedro Munhoz,John Dodson,1.9,3.6,Pedro Munhoz,John Dodson
1881,UFC 222,C.B. Dollaway,Hector Lombard,C.B. Dollaway,2.22,1.95,C.B. Dollaway,Hector Lombard
1882,UFC 222,Mike Pyle,Zak Ottow,Zak Ottow,3.85,1.34,Mike Pyle,Zak Ottow
1883,UFC 222,Bryan Caraway,Cody Stamann,Cody Stamann,2.3,1.91,Bryan Caraway,Cody Stamann
1884,UFC 222,Jordan Johnson,Adam Milstead,Jordan Johnson,1.43,3.35,Adam Milstead,Jordan Johnson
1885,UFC Fight Night 127,Fabricio Werdum,Alexander Volkov,Alexander Volkov,1.56,2.9,Alexander Volkov,Fabricio Werdum
1886,UFC Fight Night 127,Jimi Manuwa,Jan Blachowicz,Jan Blachowicz,1.56,4.2,Jan Blachowicz,Jimi Manuwa
1887,UFC Fight Night 127,Terrion Ware,Tom Duquesnoy,Tom Duquesnoy,4.14,1.3,Terrion Ware,Tom Duquesnoy
1888,UFC Fight Night 127,Leon Edwards,Peter Sobotta,Leon Edwards,1.53,2.85,Peter Sobotta,Leon Edwards
1889,UFC Fight Night 127,Charles Byrd,John Phillips,Charles Byrd,2.05,1.93,Charles Byrd,John Phillips
1890,UFC Fight Night 127,Stevie Ray,Kajan Johnson,Kajan Johnson,1.57,2.64,Kajan Johnson,Stevie Ray
1891,UFC Fight Night 127,Danny Henry,Hakeem Dawodu,Danny Henry,3.6,1.4,Danny Henry,Hakeem Dawodu
1892,UFC Fight Night 127,Paul Craig,Magomed Ankalaev,Paul Craig,6,1.17,Paul Craig,Magomed Ankalaev
1893,UFC Fight Night 127,Danny Roberts,Oliver Enkamp,Danny Roberts,1.67,2.53,Oliver Enkamp,Danny Roberts
1894,UFC Fight Night 127,Dmitriy Sosnovskiy,Mark Godbeer,Dmitriy Sosnovskiy,1.41,3.35,Mark Godbeer,Dmitriy Sosnovskiy
1895,UFC 223,Al Iaquinta,Khabib Nurmagomedov,Khabib Nurmagomedov,6.8,1.17,Al Iaquinta,Khabib Nurmagomedov
1896,UFC 223,Rose Namajunas,Joanna Jedrzejczyk,Rose Namajunas,2.1,1.93,Rose Namajunas,Joanna Jedrzejczyk
1897,UFC 223,Renato Moicano,Calvin Kattar,Renato Moicano,2.05,2,Renato Moicano,Calvin Kattar
1898,UFC 223,Joe Lauzon,Chris Gruetzemacher,Chris Gruetzemacher,1.71,2.38,Chris Gruetzemacher,Joe Lauzon
1899,UFC 223,Zabit Magomedsharipov,Kyle Bochniak,Zabit Magomedsharipov,1.16,6.75,Kyle Bochniak,Zabit Magomedsharipov
1900,UFC 223,Karolina Kowalkiewicz,Felice Herrig,Karolina Kowalkiewicz,1.54,2.7,Felice Herrig,Karolina Kowalkiewicz
1901,UFC 223,Evan Dunham,Olivier Aubin-Mercier,Olivier Aubin-Mercier,1.77,2.25,Olivier Aubin-Mercier,Evan Dunham
1902,UFC 223,Bec Rawlings,Ashlee Evans-Smith,Ashlee Evans-Smith,2.95,1.53,Bec Rawlings,Ashlee Evans-Smith
1903,UFC 223,Devin Clark,Mike Rodriguez,Devin Clark,2.05,1.91,Devin Clark,Mike Rodriguez
1904,UFC on Fox 29,Justin Gaethje,Dustin Poirier,Dustin Poirier,2.1,1.87,Justin Gaethje,Dustin Poirier
1905,UFC on Fox 29,Carlos Condit,Alex Oliveira,Alex Oliveira,2.64,1.58,Carlos Condit,Alex Oliveira
1906,UFC on Fox 29,Israel Adesanya,Marvin Vettori,Israel Adesanya,1.45,3.15,Marvin Vettori,Israel Adesanya
1907,UFC on Fox 29,Michelle Waterson,Cortney Casey,Michelle Waterson,2.55,1.65,Michelle Waterson,Cortney Casey
1908,UFC on Fox 29,Antonio Carlos Junior,Tim Boetsch,Antonio Carlos Junior,1.45,3.3,Tim Boetsch,Antonio Carlos Junior
1909,UFC on Fox 29,Ricky Rainey,Muslim Salikhov,Muslim Salikhov,2.8,1.56,Ricky Rainey,Muslim Salikhov
1910,UFC on Fox 29,Wilson Reis,John Moraga,John Moraga,1.87,2.1,John Moraga,Wilson Reis
1911,UFC on Fox 29,Krzysztof Jotko,Brad Tavares,Brad Tavares,1.95,2.11,Brad Tavares,Krzysztof Jotko
1912,UFC on Fox 29,Gilbert Burns,Dan Moret,Gilbert Burns,1.18,6.05,Dan Moret,Gilbert Burns
1913,UFC on Fox 29,Shana Dobson,Lauren Mueller,Lauren Mueller,2.43,1.74,Shana Dobson,Lauren Mueller
1914,UFC on Fox 29,Dhiego Lima,Yushin Okami,Yushin Okami,2.13,1.91,Dhiego Lima,Yushin Okami
1915,UFC on Fox 29,Arjan Bhullar,Adam Wieczorek,Adam Wieczorek,1.32,4.15,Adam Wieczorek,Arjan Bhullar
1916,UFC on Fox 29,Alejandro Perez,Matthew Lopez,Alejandro Perez,2,1.95,Alejandro Perez,Matthew Lopez
1917,UFC on Fox 29,Luke Sanders,Patrick Williams,Luke Sanders,1.24,4.75,Patrick Williams,Luke Sanders
1918,UFC Fight Night 128,Edson Barboza,Kevin Lee,Kevin Lee,2.55,1.69,Edson Barboza,Kevin Lee
1919,UFC Fight Night 128,Frankie Edgar,Cub Swanson,Frankie Edgar,1.4,3.65,Cub Swanson,Frankie Edgar
1920,UFC Fight Night 128,Justin Willis,Chase Sherman,Justin Willis,1.4,3.8,Chase Sherman,Justin Willis
1921,UFC Fight Night 128,David Branch,Thiago Santos,David Branch,2.55,1.65,David Branch,Thiago Santos
1922,UFC Fight Night 128,Aljamain Sterling,Brett Johns,Aljamain Sterling,1.93,2,Brett Johns,Aljamain Sterling
1923,UFC Fight Night 128,Jim Miller,Daniel Hooker,Daniel Hooker,3.85,1.34,Jim Miller,Daniel Hooker
1924,UFC Fight Night 128,Ryan LaFlare,Alex Garcia,Ryan LaFlare,1.69,2.35,Alex Garcia,Ryan LaFlare
1925,UFC Fight Night 128,Merab Dvalishvili,Ricky Simon,Ricky Simon,2.3,1.81,Merab Dvalishvili,Ricky Simon
1926,UFC Fight Night 128,Siyar Bahadurzada,Luan Chagas,Siyar Bahadurzada,2.55,1.69,Siyar Bahadurzada,Luan Chagas
1927,UFC Fight Night 128,Corey Anderson,Patrick Cummins,Corey Anderson,1.73,2.4,Patrick Cummins,Corey Anderson
1928,UFC Fight Night 128,Tony Martin,Keita Nakamura,Tony Martin,1.52,3,Keita Nakamura,Tony Martin
1929,UFC 224,Amanda Nunes,Raquel Pennington,Amanda Nunes,1.13,7.65,Raquel Pennington,Amanda Nunes
1930,UFC 224,Ronaldo Souza,Kelvin Gastelum,Kelvin Gastelum,1.91,2.05,Kelvin Gastelum,Ronaldo Souza
1931,UFC 224,Mackenzie Dern,Amanda Cooper,Mackenzie Dern,1.44,3.3,Amanda Cooper,Mackenzie Dern
1932,UFC 224,Brian Kelleher,John Lineker,John Lineker,3.2,1.42,Brian Kelleher,John Lineker
1933,UFC 224,Vitor Belfort,Lyoto Machida,Lyoto Machida,3.1,1.48,Vitor Belfort,Lyoto Machida
1934,UFC 224,Karl Roberson,Cezar Ferreira,Cezar Ferreira,1.95,1.95,Karl Roberson,Cezar Ferreira
1935,UFC 224,Junior Albini,Aleksei Oleinik,Aleksei Oleinik,1.67,2.4,Aleksei Oleinik,Junior Albini
