Event Title,Underdog,Favorite,Winner,height_delta,reach_delta,SLPM_delta,Str Acc_delta,SApm_delta,Str. Def_delta,TD Avg_delta,TD Acc_delta,TD Def_delta,Sub Avg_delta,age_delta,Odds_Delta
UFC 235,Hannah Cifers,Polyana Viana,Underdog,-4,-5,2,0.04,2.74,-0.01,-0.56,0.67,0.26,-1.6,0,2.14
UFC Fight Night 146,Derrick Lewis,Junior dos Santos,Favorite,1,-2,2.01,-0.03,0.85,0.16,-0.27,0.24,0.29,0.1,1,-1.31
UFC Fight Night 146,Elizeu Zaleski dos Santos,Curtis Millender,Underdog,-3,-3,0.66,-0.04,0.38,-0.04,0,-0.87,0.11,0.4,1,0.23
UFC Fight Night 146,Niko Price,Tim Means,Underdog,-2,1,0.38,-0.07,1.96,-0.12,-0.46,-0.2,-0.01,0.5,-6,1.31
UFC Fight Night 146,Blagoy Ivanov,Ben Rothwell,Underdog,5,5,0.46,0.02,0.43,-0.06,-0.01,-0.06,0.09,0.3,5,-0.07
UFC Fight Night 146,Drew Dober,Beneil Dariush,Favorite,2,2,-0.56,0.08,-1.58,0.06,1.19,0.16,0.24,0.8,0,-1.37
UFC Fight Night 146,Tim Boetsch,Omari Akhmedov,Favorite,0,1,-0.04,0.16,0.06,0.02,-1.13,-0.11,-0.06,0.6,7,0.66
UFC Fight Night 146,Sergio Moraes,Tony Martin,Favorite,0,1,0.26,-0.05,-1.14,-0.01,-0.49,-0.11,-0.07,0.6,-7,-1.56
UFC Fight Night 146,Marion Reneau,Yana Santos,Favorite,0,0,-0.96,-0.15,0.49,0.09,-0.49,0.1,0.08,0.7,12,1.31
UFC Fight Night 146,Julian Erosa,Grant Dawson,Favorite,-3,-2,-3.17,0.03,-4.02,-0.02,2.05,-0.1,-0.18,0.7,-4,-1.28
UFC Fight Night 146,Maurice Greene,Jeff Hughes,Underdog,5,3,-0.67,-0.06,-0.06,-0.15,-0.71,-0.5,-0.18,0.4,1,1.75
UFC Fight Night 146,Matt Schnell,Louis Smolka,Underdog,1,-2,0.44,0.09,-0.45,-0.02,1.1,-0.09,-0.18,0.8,-2,-0.34
UFC Fight Night 146,Zak Ottow,Alex Morono,Favorite,0,0,2.24,0.04,1.43,0,-0.65,-0.07,-0.02,0,-4,-1.04
UFC Fight Night 146,Dan Moret,Alex White,Favorite,0,-2,1.09,-0.01,-0.49,0.17,-0.33,0.01,0.26,0.1,-2,-0.49
UFC Fight Night 147,Jorge Masvidal,Darren Till,Underdog,1,0,-1.75,-0.01,0.26,-0.08,-0.83,-0.13,-0.03,-0.3,-8,-1.53
UFC Fight Night 147,Gunnar Nelson,Leon Edwards,Favorite,3,2,0.91,-0.08,-0.66,0.05,-0.65,-0.25,0.04,-0.6,-3,-0.56
UFC Fight Night 147,Volkan Oezdemir,Dominick Reyes,Favorite,-2,-2,-0.16,-0.03,0.15,0.07,0.21,0.05,0,-0.3,0,1.9
UFC Fight Night 147,Jose Quinonez,Nathaniel Wood,Favorite,-2,0,2.31,0.05,1.22,-0.08,-0.96,0.01,0.28,-0.1,-2,-2.42
UFC Fight Night 147,Danny Roberts,Claudio Silva,Favorite,-2,-3,-0.7,0.03,-0.73,-0.04,2.61,0.17,-0.13,0.9,5,-0.66
UFC Fight Night 147,John Phillips,Jack Marshman,Favorite,1,-2,1.02,-0.09,0.16,0.07,0,0,0.13,0,-4,-0.53
UFC Fight Night 147,Jordan Rinaldi,Arnold Allen,Favorite,-2,-2,1.83,0.05,0.59,0.02,-0.43,0.15,0.55,-0.8,-6,-0.61
UFC Fight Night 147,Marc Diakiese,Joseph Duffy,Underdog,0,0,0.14,-0.06,1.14,0.02,-2.33,0.23,-0.02,0.7,5,-1.08
UFC Fight Night 147,Danny Henry,Dan Ige,Favorite,5,2,1.44,0.06,0.64,-0.12,-0.32,0.07,-0.08,1.9,3,0.55
UFC Fight Night 147,Priscila Cachoeira,Molly McCann,Favorite,3,3,-2.03,-0.05,2.09,-0.2,-1.67,-0.05,0.22,-0.6,1,1.23
UFC Fight Night 147,Mike Grundy,Nad Narimani,Underdog,1,-2,1.24,-0.03,-1.45,0.02,-2.14,0.13,0.2,-0.4,0,-0.41
UFC Fight Night 148,Anthony Pettis,Stephen Thompson,Underdog,2,3,1.06,-0.01,-0.41,0,-0.35,-0.09,0.05,-1.1,4,-3.22
UFC Fight Night 148,Justin Willis,Curtis Blaydes,Favorite,3,2,0.16,-0.09,-0.74,0.02,4.76,-0.13,-0.05,0,-3,-2
UFC Fight Night 148,Jesus Pinedo,John Makdessi,Favorite,-2,-6,2.29,0.11,-0.22,0.16,-2.5,-1,-0.14,0,12,-2.26
UFC Fight Night 148,Jussier Formiga,Deiveson Figueiredo,Underdog,0,-1,-1.59,-0.16,-1.04,0.14,0.17,-0.07,0.29,-1.1,3,0.66
UFC Fight Night 148,Steven Peterson,Luis Pena,Favorite,5,5,-1.1,0.06,-2.82,-0.02,-0.25,0.07,-0.16,0.5,-3,-1.57
UFC Fight Night 148,J.J. Aldrich,Maycee Barber,Favorite,0,-2,0.82,0.07,-1.48,-0.06,0.78,0.2,-0.13,0.1,-5,-1.95
UFC Fight Night 148,Bryce Mitchell,Bobby Moffett,Underdog,0,-3,-1.11,0.19,-1.52,-0.03,0.71,-0.25,-0.33,0.2,-4,0.62
UFC Fight Night 148,Frankie Saenz,Marlon Vera,Favorite,2,4,0.37,0.02,1.98,-0.02,-1.21,0.08,0.09,0.8,-12,-0.88
UFC Fight Night 148,Jennifer Maia,Alexis Davis,Underdog,2,4,0.28,0.11,-0.07,-0.01,0.53,0.17,-0.24,0.6,4,-0.62
UFC Fight Night 148,Randa Markos,Angela Hill,Underdog,-1,1,2.41,0.06,1.76,0.03,-0.32,0.05,0.24,-0.1,1,-0.61
UFC Fight Night 148,Ryan MacDonald,Chris Gutierrez,Favorite,-2,-4,2.52,0.29,-3.7,0.18,0.28,0.3,0.69,0.1,2,-2.01
UFC Fight Night 148,Jordan Espinosa,Eric Shelton,Underdog,0,-1,-1.65,-0.1,-1.06,0.06,2.08,0.23,-0.24,0,-1,-0.71
UFC on ESPN 2,Justin Gaethje,Edson Barboza,Underdog,0,5,-2.67,-0.15,-2.81,0.04,0.34,0.25,-0.03,0.1,3,-0.25
UFC on ESPN 2,David Branch,Jack Hermansson,Favorite,0,1,-3.43,-0.05,-1.78,0,1.02,0.02,-0.37,-0.4,7,0.45
UFC on ESPN 2,Josh Emmett,Michael Johnson,Underdog,-4,-3,-0.23,-0.03,0.78,0.04,0.29,-0.04,-0.35,0.1,2,0.45
UFC on ESPN 2,Michelle Waterson,Karolina Kowalkiewicz,Underdog,0,2,2.15,-0.03,1.36,0.09,-1.08,-0.09,0.03,-0.5,0,-0.76
UFC on ESPN 2,Paul Craig,Kennedy Nzechukwu,Underdog,-2,-7,-2.68,0.01,-1.93,-0.06,1.08,-0.25,-0.43,1.4,5,1.08
UFC on ESPN 2,Sheymon da Silva Moraes,Sodiq Yusuff,Favorite,1,-1,2.66,0.07,0.87,-0.1,0.28,0.2,0.09,0.4,-2,0.59
UFC on ESPN 2,Jessica Aguilar,Marina Alcalde Rodriguez,Favorite,3,2,-0.11,-0.03,-4.07,0.02,-0.71,0.17,0.15,0,-5,2.84
UFC on ESPN 2,Ross Pearson,Desmond Green,Favorite,2,4,0.02,0.06,-1.58,0.07,0.88,0.15,0,0,-5,-4.28
UFC on ESPN 2,Kevin Aguilar,Enrique Barzola,Underdog,0,-3,-0.05,0.01,-1.84,0.16,4.04,0.29,-0.12,0.3,0,-0.37
UFC on ESPN 2,Gerald Meerschaert,Kevin Holland,Favorite,-2,-4,-1.06,-0.04,0.18,0.03,1.32,0,-0.2,1,5,1.4
UFC on ESPN 2,Casey Kenney,Ray Borg,Underdog,-3,-5,-3.33,0.1,-2.74,-0.1,2.8,0.15,-0.15,0.6,-3,-1.81
UFC on ESPN 2,Maryna Moroz,Sabina Mazo,Underdog,0,3,1.68,0.1,-0.54,0.06,-0.05,0.56,0.17,-0.4,-5,-0.74
UFC on ESPN 2,Mark Delarosa,Alex Perez,Favorite,0,0,0.97,0.1,-1.87,0.11,1.52,0.31,0.42,0.7,3,-2.98
UFC 236,Dustin Poirier,Max Holloway,Underdog,2,-3,1.72,-0.03,0.36,0.06,-1.08,0.17,0.21,-1.1,-3,-1.67
UFC 236,Kelvin Gastelum,Israel Adesanya,Favorite,-7,-9,-0.38,-0.07,0.12,0.02,0.91,0.16,-0.18,0,-2,1.04
UFC 236,Khalil Rountree,Eryk Anders,Underdog,0,-1,-0.43,0.08,-0.01,0,1.79,0.26,0.21,0,3,-1.15
UFC 236,Alan Jouban,Dwight Grant,Favorite,-1,-3,2.38,0.14,1.11,0,-0.1,-0.56,-0.08,0.3,3,0.27
UFC 236,Ovince St Preux,Nikita Krylov,Favorite,0,-3,1.35,0.08,-0.85,-0.03,1.19,0.02,-0.14,0.9,-9,0.33
UFC 236,Matt Frevola,Jalin Turner,Underdog,6,6,1.89,0.06,1,-0.18,-1.8,0.15,0.32,0.2,-4,-0.82
UFC 236,Wilson Reis,Alexandre Pantoja,Favorite,-1,-2,-2.58,-0.2,-0.93,0.05,2.54,-0.05,-0.21,-0.2,5,0.88
UFC 236,Max Griffin,Zelim Imadaev,Underdog,-1,0,1.01,0.13,-0.54,0.14,1.07,-0.09,0.08,0.3,9,0.33
UFC 236,Khalid Taha,Boston Salmon,Underdog,4,0,1.49,0.05,3.63,0.13,0,0,0.39,-0.2,1,-0.72
UFC 236,Curtis Millender,Belal Muhammad,Favorite,-3,-4,0.69,-0.03,0.69,-0.04,1.55,-0.65,0.36,0.2,-1,-0.67
UFC 236,Andre Soukhamthath,Montel Jackson,Favorite,1,5,0.59,0.09,-2.9,0.15,2.17,0.18,0.11,0.1,-3,-4.55
UFC 236,Lauren Mueller,Poliana Botelho,Favorite,-3,0,1.18,-0.17,0.97,0.04,-0.15,-0.07,-0.05,0,-3,0.85
UFC 236,Randy Costa,Brandon Davis,Favorite,1,-1,-1.85,-0.11,-2.96,0,0.74,0.42,0.07,0.1,5,-1.02
UFC Fight Night 149,Aleksei Oleinik,Alistair Overeem,Favorite,-2,0,-0.38,-0.16,1.36,-0.13,0.4,-0.09,-0.36,1.1,2,1.81
UFC Fight Night 149,Arman Tsarukyan,Islam Makhachev,Favorite,3,-2,-1.33,0.12,-0.57,0.08,-0.08,0.23,0.15,1,5,-2.47
UFC Fight Night 149,Marcelo Golm,Sergey Pavlovich,Favorite,0,9,3.94,-0.1,0.31,0.1,-0.45,-0.5,-0.12,-0.5,1,-2.27
UFC Fight Night 149,Roxanne Modafferi,Antonina Shevchenko,Underdog,-1,2,-0.51,-0.25,2.77,-0.01,0.92,-0.19,-0.23,-0.3,2,2.38
UFC Fight Night 149,Alen Amedovski,Krzysztof Jotko,Favorite,3,3,1.99,0.12,-1.62,0.11,1.33,0.39,0.82,0.1,-2,-1.42
UFC Fight Night 149,Seung Woo Choi,Movsar Evloev,Favorite,-5,-2,0.95,0.1,-0.13,0.14,3.88,-0.08,0.02,0.2,-1,-3.51
UFC Fight Night 149,Keita Nakamura,Sultan Aliev,Favorite,0,1,-0.82,0.09,-1,-0.02,0.11,-0.1,0.37,-0.3,-1,-0.2
UFC Fight Night 149,Alex da Silva,Alexander Yakovlev,Favorite,7,1,-0.4,0.01,-0.11,0.02,-0.31,-0.08,-0.04,-0.2,11,-0.63
UFC Fight Night 149,Shamil Abdurakhimov,Marcin Tybura,Underdog,0,2,1.19,0.04,0.33,0,0.42,0.1,0.34,0,-4,-0.52
UFC Fight Night 149,Gadzhimurad Antigulov,Michal Oleksiejczuk,Favorite,-1,-4,-2.98,0.05,-0.05,-0.21,4.33,-0.08,-0.48,1.4,8,1.4
UFC Fight Night 149,Magomed Mustafaev,Rafael Fiziev,Underdog,0,0,-2.31,0.07,-2.29,-0.08,3.02,0.1,-0.66,0.4,4,0
UFC on ESPN 3,Jack Hermansson,Ronaldo Souza,Underdog,0,-5,-2.56,0.03,-0.86,0.06,1.04,0.09,-0.23,0.9,9,1.5
UFC on ESPN 3,Mike Perry,Alex Oliveira,Underdog,1,5,-1.33,0.04,-2.61,-0.06,1.54,-0.02,-0.15,0.4,4,-0.88
UFC on ESPN 3,Ion Cutelaba,Glover Teixeira,Favorite,1,1,-0.71,0.06,1,0.04,-2.06,-0.24,-0.16,0.9,14,-0.13
UFC on ESPN 3,Cory Sandhagen,John Lineker,Underdog,-8,-3,0.03,-0.04,0.87,-0.02,-0.8,0.25,0.03,0.3,1,-0.71
UFC on ESPN 3,Thomas Gifford,Roosevelt Roberts,Favorite,1,-2,-0.92,0.07,-3.33,0.15,0.89,-0.04,0.19,0.9,-1,-3.77
UFC on ESPN 3,Ben Saunders,Takashi Sato,Favorite,-4,-4,-1.02,-0.09,0.15,-0.07,0.56,-0.03,-0.06,-1.3,-8,-1.58
UFC on ESPN 3,Andrei Arlovski,Augusto Sakai,Favorite,0,0,-0.82,-0.04,-0.63,0.09,0.15,-0.04,0.2,0.2,12,0.83
UFC on ESPN 3,Virna Jandiroba,Carla Esparza,Favorite,-2,-1,-0.14,0.02,-0.27,-0.02,0.86,-0.01,-0.26,-0.9,1,-0.16
UFC on ESPN 3,Mike Davis,Gilbert Burns,Favorite,-2,-1,-2.06,-0.04,-2.34,-0.01,-0.53,-0.15,-0.14,0.1,6,-1.83
UFC on ESPN 3,Jason Gonzalez,Jim Miller,Favorite,-6,-3,-0.07,0.03,0.37,-0.02,1.53,0.44,0.17,0.7,6,-0.38
UFC on ESPN 3,Jodie Esquibel,Angela Hill,Favorite,2,0,1.28,0.18,-2.51,0.09,0.05,0.12,-0.07,0.1,1,-4.83
UFC on ESPN 3,Dhiego Lima,Court McGee,Underdog,-3,0,1.48,-0.02,-0.26,0.03,0.58,-0.09,-0.04,-0.2,4,-0.91
UFC Fight Night 150,Donald Cerrone,Al Iaquinta,Underdog,-3,-3,-0.35,-0.06,0.05,0.08,-0.53,-0.15,0.01,-1,-4,-0.4
UFC Fight Night 150,Derek Brunson,Elias Theodorou,Underdog,0,-2,0.68,-0.05,-0.66,0.02,-1.87,-0.05,-0.26,-0.6,-5,-0.08
UFC Fight Night 150,Cub Swanson,Shane Burgos,Favorite,-3,-5,-2.7,-0.02,-2.94,0.03,0.66,0.08,-0.3,0,7,0.99
UFC Fight Night 150,Brad Katona,Merab Dvalishvili,Favorite,0,-4,0.21,0.08,2.61,-0.09,-4.93,-0.09,-0.28,-0.3,-1,0.92
UFC Fight Night 150,Sergey Spivak,Walt Harris,Favorite,2,-1,-0.49,-0.1,-0.46,0.05,-4.27,-0.36,0,-0.4,11,-0.88
UFC Fight Night 150,Marc-Andre Barriault,Andrew Sanchez,Favorite,0,0,-1.89,-0.04,-0.57,-0.02,2.33,0.11,0.33,-0.1,2,-0.78
UFC Fight Night 150,Sarah Moras,Macy Chiasson,Favorite,-4,-5,-1.25,-0.1,1.05,0.04,-1.71,-0.16,-0.29,0.3,4,5.23
UFC Fight Night 150,Vincent Morales,Aiemann Zahabi,Underdog,-1,-2,-0.74,0.06,-0.63,0.18,0.06,-0.09,0.15,0,3,-0.98
UFC Fight Night 150,Kyle Prepolec,Nordine Taleb,Favorite,3,4,0.46,0.17,-2.08,0.12,1.94,0.76,0.33,0,8,-3.65
UFC Fight Night 150,Kyle Nelson,Matt Sayles,Favorite,4,3,-1.18,0.04,1.88,-0.09,0.74,0.04,-0.08,-0.1,3,1.25
UFC Fight Night 150,Arjan Bhullar,Juan Adams,Underdog,4,5,4.76,-0.01,0.81,-0.25,-0.82,-0.09,-0.43,0,-6,-0.45
UFC Fight Night 150,Cole Smith,Mitch Gagnon,Underdog,-6,-2,0.98,0.11,0.25,0.12,-0.51,-0.08,0.2,0.2,4,-0.3
UFC 237,Rose Namajunas,Jessica Andrade,Favorite,4,3,-2.93,-0.09,-1.86,0.08,-0.99,-0.08,-0.13,0.2,-1,0.51
UFC 237,Anderson Silva,Jared Cannonier,Favorite,3,0,-1.63,0.09,-2.08,0.01,0.06,0.35,0.06,0.8,9,0.15
UFC 237,Alex Volkanovski,Jose Aldo,Underdog,1,-1,-2.53,-0.1,0.29,0.02,-1.27,0.16,0.21,-0.1,2,-0.52
UFC 237,Laureano Staropoli,Thiago Alves,Underdog,4,1,-0.42,-0.07,0.31,-0.08,0.12,-0.34,-0.15,-0.3,-9,0.19
UFC 237,Bethe Correia,Irene Aldana,Favorite,4,4,0.87,-0.03,1.4,0.01,-0.23,0.32,-0.09,0.2,-4,-3.06
UFC 237,Rogerio Nogueira,Ryan Spann,Favorite,-3,-4,-0.82,-0.05,-1.55,0.15,-0.7,0.09,0.15,-0.7,15,0.37
UFC 237,Kurt Holobaugh,Thiago Moises,Favorite,2,0,1.9,0.03,-0.12,-0.07,-0.93,-0.08,-0.1,-0.4,8,0.24
UFC 237,Sergio Moraes,Warlley Alves,Favorite,1,0,-0.62,-0.06,-0.22,0.09,-0.02,-0.12,0.13,-0.4,8,0.48
UFC 237,B.J. Penn,Clay Guida,Favorite,-2,0,-0.12,-0.15,-0.19,0.05,1.94,-0.19,-0.07,0.1,-3,5.52
UFC 237,Priscila Cachoeira,Luana Carolina,Favorite,1,-4,-0.87,-0.05,3.4,-0.06,-0.23,-0.09,-0.11,-0.6,5,0.97
UFC 237,Carlos Huachin,Raoni Barcelos,Favorite,-3,0,-3.12,-0.3,0.01,-0.11,-1.86,-0.32,-0.19,-0.6,-10,7.89
UFC 237,Viviane Araujo,Talita Bernardo,Underdog,0,0,-0.99,-0.05,-0.92,-0.01,-0.14,-0.18,-0.5,-0.1,0,-2.14
UFC Fight Night 152,Rafael dos Anjos,Kevin Lee,Underdog,1,7,0.4,-0.05,0.39,-0.1,1.23,0.08,0.2,0.2,-8,-0.61
UFC Fight Night 152,Ian Heinisch,Antonio Carlos Junior,Underdog,-3,-7,1.3,0.08,0.84,0.07,-2.4,-0.22,0.06,-0.1,1,0.88
UFC Fight Night 152,Felicia Spencer,Megan Anderson,Underdog,6,4,-1.45,-0.02,-1.19,-0.08,-0.66,0.07,0.26,0.3,1,-1.41
UFC Fight Night 152,Derrick Krantz,Vicente Luque,Favorite,1,3,3,0.15,1.18,0.02,-2.18,0.03,0.62,-0.2,-4,-8.15
UFC Fight Night 152,Nik Lentz,Charles Oliveira,Favorite,2,6,-0.05,0.06,-0.05,0.01,-1.13,0.08,0.12,1.6,-5,-2.99
UFC Fight Night 152,Austin Hubbard,Davi Ramos,Favorite,-4,-1,-1.47,-0.08,-0.3,0,0.2,-0.1,0.18,0.6,5,-4.14
UFC Fight Night 152,Sijara Eubanks,Aspen Ladd,Favorite,2,-1,-0.52,0.04,1.22,-0.1,-0.34,0.03,-0.04,0.3,-10,-2.1
UFC Fight Night 152,Charles Jourdain,Desmond Green,Favorite,1,4,-1.86,-0.02,-1.8,0.12,1.53,0.4,0.27,-0.6,6,-6.43
UFC Fight Night 152,Michel Pereira,Danny Roberts,Underdog,0,-1,1.98,0.15,-0.03,0.08,1.29,0.46,0.37,0.6,-6,1.78
UFC Fight Night 152,Mike Trizano,Grant Dawson,Favorite,-1,1,-0.66,-0.02,-2.13,-0.05,3.32,-0.3,-0.32,1,-2,-0.72
UFC Fight Night 152,Ed Herman,Patrick Cummins,Underdog,1,-1,0.95,0.02,-0.36,0.13,2.53,-0.06,-0.31,-0.9,0,-1.72
UFC Fight Night 152,Zak Cummings,Trevin Giles,Underdog,0,1,-0.31,-0.2,0.69,-0.03,-0.57,-0.22,-0.05,0.3,8,1.12
UFC Fight Night 152,Julian Erosa,Julio Arce,Favorite,-6,-4,-1.78,-0.12,-3.24,0.21,-1.17,-0.18,0.38,-0.5,0,-5.86
UFC Fight Night 153,Anthony Smith,Alexander Gustafsson,Underdog,1,3,0.8,-0.08,-0.94,0.05,1.04,0.13,0.34,-0.3,2,-2.51
UFC Fight Night 153,Jimi Manuwa,Aleksandar Rakic,Favorite,-3,1,-0.83,0.04,1.17,-0.01,-0.23,-0.07,-0.15,0.3,12,1.81
UFC Fight Night 153,Chris Fishgold,Makwan Amirkhani,Favorite,2,4,-0.68,0.12,0.28,0,1.37,-0.03,-0.09,-0.2,4,-0.22
UFC Fight Night 153,Christos Giagos,Damir Hadzovic,Underdog,1,1,-0.33,-0.07,-0.05,-0.12,2.06,-0.19,0.18,0.2,-3,0.8
UFC Fight Night 153,Daniel Teymur,Sung Bin Jo,Underdog,-7,-3,1.68,0.13,1.26,0.05,-0.44,-0.15,-0.23,-0.7,5,0.53
UFC Fight Night 153,Rostem Akman,Sergey Khandozhko,Favorite,-3,-2,-1.61,-0.16,1.6,-0.03,0.24,0.12,0.26,0,0,0.76
UFC Fight Night 153,Lina Lansberg,Tonya Evinger,Underdog,0,5,-1.53,-0.13,0.15,-0.06,0.41,0.03,-0.14,0.8,0,-2.82
UFC Fight Night 153,Stevie Ray,Leonardo Santos,Favorite,2,5,-0.91,0.02,0.47,0,0.13,-0.21,0.31,-0.4,10,-0.83
UFC Fight Night 153,Nick Hein,Frank Camacho,Favorite,-4,-7,-3.91,-0.11,-3.83,0.08,-0.25,0.02,0.1,0,5,0.41
UFC Fight Night 153,Duda Santana,Bea Malecki,Favorite,-2,-1,-0.83,-0.07,-4.24,0.11,6.44,0.6,-0.78,-1.1,-4,0.22
UFC Fight Night 153,Devin Clark,Darko Stosic,Underdog,0,-1,0.42,0.09,-0.8,-0.14,-1.25,-0.18,-0.25,0.1,2,0.01
UFC Fight Night 153,Joel Alvarez,Danilo Belluardo,Underdog,3,3,2.13,-0.15,-1.42,0.09,-3.5,-1,-0.39,1.3,2,0.07
UFC 238,Henry Cejudo,Marlon Moraes,Underdog,2,3,-0.4,-0.06,1.24,-0.06,-1.12,0.09,-0.29,0.1,-1,-0.69
UFC 238,Jessica Eye,Valentina Shevchenko,Favorite,-1,0,-0.58,0.15,-2.08,0.07,1.98,0.23,0.14,-0.1,-1,-8.2
UFC 238,Donald Cerrone,Tony Ferguson,Favorite,-2,3,0.53,-0.01,-0.07,0.02,-0.77,0.02,-0.06,-0.3,-1,-1.4
UFC 238,Jimmie Rivera,Petr Yan,Favorite,3,-1,1.11,0.13,0.46,-0.02,0.85,0.24,-0.07,0,-3,-2.81
UFC 238,Blagoy Ivanov,Tai Tuivasa,Underdog,3,2,0.71,0.09,0.85,-0.1,-0.69,-0.4,-0.04,-0.1,-6,-0.74
UFC 238,Nina Nunes,Tatiana Suarez,Favorite,0,2,-0.12,0.18,-2.09,-0.04,5.96,0.28,0.27,0.4,-5,-5.58
UFC 238,Pedro Munhoz,Aljamain Sterling,Favorite,1,6,-0.71,0.09,-3.93,0.02,1.8,0.09,-0.37,0.2,-3,-0.77
UFC 238,Karolina Kowalkiewicz,Alexa Grasso,Favorite,-2,-2,1.04,0,1.6,0,-0.07,-0.22,0.14,-0.4,8,0.08
UFC 238,Ricardo Lamas,Calvin Kattar,Favorite,-3,-1,-1.63,0.08,-3.88,0.03,1.45,0.04,-0.26,0.8,6,0.95
UFC 238,Angela Hill,Yan Xiaonan,Favorite,-2,1,0.41,0.05,1.2,0.03,-0.2,-0.4,0.14,0.1,5,1.62
UFC 238,Darren Stewart,Bevon Lewis,Underdog,3,5,0.68,-0.02,-0.62,0.06,-1.75,-0.45,-0.01,-0.1,0,-0.97
UFC 238,Grigory Popov,Eddie Wineland,Favorite,0,1,-0.23,-0.08,-0.44,0.13,0.34,0.33,0.41,0.1,-1,-0.68
UFC 238,Joanne Wood,Katlyn Chookagian,Favorite,3,3,-2.52,-0.17,-0.41,0.11,-1.21,-0.4,-0.08,0,-3,0
UFC Fight Night 154,Chan Sung Jung,Renato Moicano,Underdog,4,0,0.45,0.07,-0.84,0.08,1.19,0.01,0,0,-2,-1.27
UFC Fight Night 154,Randy Brown,Bryan Barberena,Underdog,-3,-6,0.98,0.02,1.26,-0.1,-0.65,-0.17,-0.24,-0.2,2,-1.8
UFC Fight Night 154,Anderson dos Santos,Andre Ewell,Favorite,3,5,1.58,0.15,-0.5,0.02,-0.62,0.61,0.06,-0.6,-2,0.32
UFC Fight Night 154,Montana De La Rosa,Andrea Lee,Favorite,-1,1,1.99,0.1,0.55,0.18,0.14,0.27,-0.09,-0.2,6,-1.04
UFC Fight Night 154,Alessio Di Chirico,Kevin Holland,Favorite,-3,-7,-0.92,-0.1,0.25,0.11,0.61,0.01,0.29,-0.6,3,1.49
UFC Fight Night 154,Dan Ige,Kevin Aguilar,Underdog,0,-2,-0.2,0.05,-1.29,0.05,0.9,0.1,-0.2,0.3,-3,0.59
UFC Fight Night 154,Syuri Kondo,Ashley Yoder,Favorite,3,3,-1.98,-0.05,-3.09,-0.11,1.09,0.27,-0.17,0.3,1,-0.35
UFC Fight Night 154,Matt Wiman,Luis Pena,Favorite,5,7,0.49,-0.04,-0.45,0,-0.96,-0.04,-0.08,-0.3,-10,-3
UFC Fight Night 154,Allen Crowder,Jairzinho Rozenstruik,Favorite,1,-2,-0.49,0.02,0.17,0.09,1.85,0.33,0.25,1.2,-2,1.49
UFC Fight Night 154,Molly McCann,Ariane Lipski,Underdog,2,5,-1.69,-0.08,-0.98,-0.1,-1.26,0.17,0.28,-0.3,-4,-1.91
UFC Fight Night 154,Eric Spicely,Deron Winn,Favorite,-7,-3,0.84,-0.01,0.49,-0.09,2.97,0.32,-0.35,-1,-3,-2.73
UFC on ESPN 3,Junior dos Santos,Francis Ngannou,Favorite,0,6,-2.16,-0.06,-1.17,-0.15,0.46,0.12,-0.1,0.2,-3,1.4
UFC on ESPN 3,Jussier Formiga,Joseph Benavidez,Favorite,-1,-2,2.1,-0.05,0.33,-0.03,-0.41,-0.05,-0.25,0,0,-0.33
UFC on ESPN 3,Tony Martin,Demian Maia,Favorite,1,-1,-0.88,0.06,-0.52,0.05,1.78,-0.03,-0.07,0,12,-1.12
UFC on ESPN 3,Vinc Pichel,Roosevelt Roberts,Underdog,4,1,-0.57,-0.02,0.07,-0.03,-1.39,-0.25,0.27,0.7,-11,-1.9
UFC on ESPN 3,Marco Polo Reyes,Drew Dober,Favorite,-3,-1,-1.66,0.03,-1.29,-0.08,0.71,0.18,0.1,0.1,-4,-3.36
UFC on ESPN 3,Paul Craig,Alonzo Menifield,Favorite,-3,0,1.47,0.11,0.6,0.05,-1.01,0.13,0.38,-1.3,0,-2.36
UFC on ESPN 3,Journey Newson,Ricardo Ramos,Favorite,-4,-5,-0.57,-0.05,-1.17,0.07,-2.46,-0.44,-0.29,-0.4,7,3.1
UFC on ESPN 3,Vinicius Moreira,Eryk Anders,Favorite,-3,-1,0.26,-0.12,-0.9,0.07,-0.18,0.08,0.79,-1.2,2,-2.4
UFC on ESPN 3,Dan Moret,Jared Gordon,Favorite,-3,-5,2.72,0.14,-0.16,0.14,0.7,0.13,0.17,-0.4,-2,-2.64
UFC on ESPN 3,Dequan Townsend,Dalcha Lungiambula,Favorite,7,3,-1.84,-0.11,-0.01,-0.14,-2.14,-0.45,-0.31,0,2,3.25
UFC on ESPN 3,Amanda Ribas,Emily Whitmire,Underdog,2,-3,-2.13,-0.09,-0.42,-0.07,-0.17,0.15,-0.15,-0.2,3,-1.11
UFC on ESPN 3,Junior Albini,Maurice Greene,Favorite,4,6,-0.7,-0.06,-2.47,-0.07,-1.54,-0.37,-0.73,0.4,4,-0.11
UFC 239,Thiago Santos,Jon Jones,Favorite,2,8,0.57,0.09,-0.35,0.11,1.05,0.12,0.3,0.4,-4,-4.94
UFC 239,Holly Holm,Amanda Nunes,Favorite,0,0,1.42,0.11,-0.3,0.02,1.86,0.24,0.06,0.6,-7,-3.29
UFC 239,Jorge Masvidal,Ben Askren,Underdog,0,-1,-0.41,0.02,2.61,-0.28,2.95,-0.04,-0.72,0.6,0,-1.39
